SettlementDate,SettlementPeriod,Generation
2016-01-26,38,44420
2016-01-26,39,43189
2016-01-26,40,41833
2016-01-26,41,40498
2016-01-26,42,38743
2016-01-26,43,36755
2016-01-26,44,34463
2016-01-26,45,32586
2016-01-26,46,30743
2016-01-26,47,28423
2016-01-26,48,27828
2016-01-27,1,26908
2016-01-27,2,27138
2016-01-27,3,26835
2016-01-27,4,26185
2016-01-27,5,25564
2016-01-27,6,25462
2016-01-27,7,24833
2016-01-27,8,24350
2016-01-27,9,23994
2016-01-27,10,23973
2016-01-27,11,24640
2016-01-27,12,25885
2016-01-27,13,29257
2016-01-27,14,32694
2016-01-27,15,36779
2016-01-27,16,38670
2016-01-27,17,39256
2016-01-27,18,39029
2016-01-27,19,39699
2016-01-27,20,39949
2016-01-27,21,40035
2016-01-27,22,39904
2016-01-27,23,40038
2016-01-27,24,40084
2016-01-27,25,40322
2016-01-27,26,40045
2016-01-27,27,39857
2016-01-27,28,39659
2016-01-27,29,39592
2016-01-27,30,39472
2016-01-27,31,39311
2016-01-27,32,40179
2016-01-27,33,41452
2016-01-27,34,43702
2016-01-27,35,45553
2016-01-27,36,45745
2016-01-27,37,45531
2016-01-27,38,44952
2016-01-27,39,43816
2016-01-27,40,42403
2016-01-27,41,41198
2016-01-27,42,39373
2016-01-27,43,37650
2016-01-27,44,35711
2016-01-27,45,33409
2016-01-27,46,31274
2016-01-27,47,29097
2016-01-27,48,27210
2016-01-28,1,27428
2016-01-28,2,27659
2016-01-28,3,27370
2016-01-28,4,26795
2016-01-28,5,26384
2016-01-28,6,26387
2016-01-28,7,26007
2016-01-28,8,25495
2016-01-28,9,25207
2016-01-28,10,25325
2016-01-28,11,26071
2016-01-28,12,27573
2016-01-28,13,30934
2016-01-28,14,34458
2016-01-28,15,38862
2016-01-28,16,40794
2016-01-28,17,41098
2016-01-28,18,40572
2016-01-28,19,40658
2016-01-28,20,40070
2016-01-28,21,39138
2016-01-28,22,38574
2016-01-28,23,37897
2016-01-28,24,37616
2016-01-28,25,37742
2016-01-28,26,37575
2016-01-28,27,37868
2016-01-28,28,38141
2016-01-28,29,38718
2016-01-28,30,38928
2016-01-28,31,39128
2016-01-28,32,40182
2016-01-28,33,41615
2016-01-28,34,43704
2016-01-28,35,45759
2016-01-28,36,45859
2016-01-28,37,45433
2016-01-28,38,44680
2016-01-28,39,43676
2016-01-28,40,42182
2016-01-28,41,27314
2016-01-28,42,38949
2016-01-28,43,37153
